Year,Team,Team Name,Nickname,City, Price , Size ,PPO
2014,CHC,Chicago Cubs,Cubs,Chicago,7.5,16,0.47
2014,CHW,Chicago White Sox,White Sox,Chicago,6.5,16,0.41
2014,CIN,Cincinnati Reds,Reds,Cincinnati,5.5,12,0.46
2014,CLE,Cleveland Indians,Indians,Cleveland,4,12,0.33
2014,COL,Colorado Rockies,Rockies,Colorado,6,16,0.38
2014,DET,Detroit Tigers,Tigers,Detroit,5,12,0.42
2014,HOU,Houston Astros,Astros,Houston,5,14,0.36
2014,KCR,Kansas City Royals,Royals,Kansas City,6.5,16,0.41
2014,LAA,Los Angeles Angels,Angels,Anaheim,4.5,16,0.28
2014,LAD,Los Angeles Dodgers,Dodgers,Los Angeles,6.75,20,0.34
2014,MIA,Miami Marlins,Marlins,Miami,8,16,0.5
2014,MIL,Milwaukee Brewers,Brewers,Milwaukee,6,16,0.38
2014,MIN,Minnesota Twins,Twins,Minnesota,7.5,20,0.38
2014,NYM,New York Mets,Mets,New York,5.75,12,0.48
2014,NYY,New York Yankees,Yankees,New York,6,12,0.5
2014,OAK,Oakland Athletics,Athletics,Oakland,5,12,0.42
2014,PHI,Philadelphia Phillies,Phillies,Philadelphia,7.75,21,0.37
2014,PIT,Pittsburgh Pirates,Pirates,Pittsburgh,5.5,16,0.34
2014,SDP,San Diego Padres,Padres,San Diego,5,14,0.36
2014,SEA,San Francisco Giants,Giants,San Francisco,7,14,0.5
2014,SFG,Seattle Mariners,Mariners,Seattle,6,12,0.5
2014,STL,St. Louis Cardinals,Cardinals,St. Louis,6.75,12,0.56
2014,TBR,Tampa Bay Rays,Rays,Tampa,5,12,0.42
2014,TEX,Texas Rangers,Rangers,Arlington,5,16,0.31
2014,TOR,Toronto Blue Jays,Blue Jays,Toronto,6.82,14,0.49
2014,WSN,Washington Nationals,Nationals,Washington,6.5,16,0.41
2014,MLB,MLB Average,MLB Average,,6.09,15,0.41
2015,ARI,Arizona Diamondbacks,Diamondbacks,Arizona,4,14,0.29
2015,ATL,Atlanta Braves,Braves,Atlanta,7.25,16,0.45
2015,BAL,Baltimore Orioles,Orioles,Baltimore,6.75,16,0.42
2015,BOS,Boston Red Sox,Red Sox,Boston,7.75,12,0.65
2015,CHC,Chicago Cubs,Cubs,Chicago,7.5,16,0.47
2015,CHW,Chicago White Sox,White Sox,Chicago,6.5,16,0.41
2015,CIN,Cincinnati Reds,Reds,Cincinnati,5.5,12,0.46
2015,CLE,Cleveland Indians,Indians,Cleveland,4,12,0.33
